repository_full_name,name,owner,url,visibility,archived,default_branch,clone_url
"bnb-chain/awesome","awesome","bnb-chain","https://github.com/bnb-chain/awesome","public","false","master","https://github.com/bnb-chain/awesome.git"
"boinkbr/awesome-list","awesome-list","boinkbr","https://github.com/boinkbr/awesome-list","public","false","master","https://github.com/boinkbr/awesome-list.git"
"bokdong2fos/awesome-list","awesome-list","bokdong2fos","https://github.com/bokdong2fos/awesome-list","public","false","main","https://github.com/bokdong2fos/awesome-list.git"
"boryce/awesome-list","awesome-list","boryce","https://github.com/boryce/awesome-list","public","false","master","https://github.com/boryce/awesome-list.git"
"bournelv/awesome-list","awesome-list","bournelv","https://github.com/bournelv/awesome-list","public","false","master","https://github.com/bournelv/awesome-list.git"
"boykasep/awesome-list","awesome-list","boykasep","https://github.com/boykasep/awesome-list","public","false","main","https://github.com/boykasep/awesome-list.git"
"brayan-otieno/awesome-list","awesome-list","brayan-otieno","https://github.com/brayan-otieno/awesome-list","public","false","main","https://github.com/brayan-otieno/awesome-list.git"
"BreathtakinglyOrdinary/awesome-list","awesome-list","BreathtakinglyOrdinary","https://github.com/BreathtakinglyOrdinary/awesome-list","public","false","main","https://github.com/BreathtakinglyOrdinary/awesome-list.git"
"brecouloote/awesome-list","awesome-list","brecouloote","https://github.com/brecouloote/awesome-list","public","false","master","https://github.com/brecouloote/awesome-list.git"
"brian-schwartz-valtech/awesome-list","awesome-list","brian-schwartz-valtech","https://github.com/brian-schwartz-valtech/awesome-list","public","false","master","https://github.com/brian-schwartz-valtech/awesome-list.git"
"Brooke-Lee/awesome-list","awesome-list","Brooke-Lee","https://github.com/Brooke-Lee/awesome-list","public","false","master","https://github.com/Brooke-Lee/awesome-list.git"
"bsblock/awesome-list","awesome-list","bsblock","https://github.com/bsblock/awesome-list","public","false","main","https://github.com/bsblock/awesome-list.git"
"buhuizuocaigou/awesome-list","awesome-list","buhuizuocaigou","https://github.com/buhuizuocaigou/awesome-list","public","false","main","https://github.com/buhuizuocaigou/awesome-list.git"
"C64813/awesome-list","awesome-list","C64813","https://github.com/C64813/awesome-list","public","false","master","https://github.com/C64813/awesome-list.git"
"caido-community/awesome","awesome","caido-community","https://github.com/caido-community/awesome","public","false","main","https://github.com/caido-community/awesome.git"
"Caliche008/awesome-list","awesome-list","Caliche008","https://github.com/Caliche008/awesome-list","public","false","main","https://github.com/Caliche008/awesome-list.git"
"CalypsoSG/awesome-list","awesome-list","CalypsoSG","https://github.com/CalypsoSG/awesome-list","public","false","main","https://github.com/CalypsoSG/awesome-list.git"
"candc-admin/awesome-list","awesome-list","candc-admin","https://github.com/candc-admin/awesome-list","public","false","main","https://github.com/candc-admin/awesome-list.git"
"caocuong2404/awesome-list","awesome-list","caocuong2404","https://github.com/caocuong2404/awesome-list","public","false","master","https://github.com/caocuong2404/awesome-list.git"
"caoweiwei18/awesome-list","awesome-list","caoweiwei18","https://github.com/caoweiwei18/awesome-list","public","false","master","https://github.com/caoweiwei18/awesome-list.git"
"caraherrerapor/awesome-list","awesome-list","caraherrerapor","https://github.com/caraherrerapor/awesome-list","public","false","main","https://github.com/caraherrerapor/awesome-list.git"
